fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality (low/med/high)
8.083687401,0.236090426,0.298159237,15.33818179,0.061005987,32,170.6058164,0.999009937,3.178983224,0.577828711,9.186399479,4,low
7.836857929,0.243230125,0.307098803,15.3639061,0.063549516,32,173.5860053,1.000056358,3.191993056,0.515886045,9.059820161,4,low
7.756189859,0.246012549,0.40100064,15.39376916,0.06110947,32,168.375167,1.000201888,3.145209598,0.56287207,9.068534679,4,low
8.059445025,0.269079661,0.327321433,15.32950241,0.063544688,32,170.2624586,1.000216537,3.140111461,0.540350832,9.15985168,4,low
7.873336407,0.23517801,0.402655514,15.30111876,0.063130929,32,169.7881878,0.999243193,3.230901791,0.468100734,9.181808787,4,low
8.906778471,0.240114562,0.285157373,3.096499585,0.038909039,118.9274006,211.2976599,0.994877854,3.3929379,0.491691477,9.822376282,3,low
8.207035217,0.242370364,0.279323459,2.026206011,0.038973695,119.3567093,213.4066644,0.994065985,2.991272519,0.567512357,10.11323493,3,low
8.208988945,0.246189955,0.26657563,6.366663067,0.040771966,122.0338672,208.2005358,0.994052468,2.960362475,0.514967135,10.74360684,3,low
7.893880258,0.240425448,0.274440969,7.997079759,0.039015685,121.5407401,208.216902,0.994657458,3.250841129,0.545650724,10.2488312,3,low
7.439002036,0.242840275,0.28159178,8.004518047,0.038547369,123.9700055,214.9418823,0.994449688,3.044211992,0.592434561,9.723434983,3,low
7.961749691,0.247265485,0.263028062,7.805724886,0.038030684,118.8544952,214.5742306,0.994056795,3.129337239,0.57867714,10.76277734,3,low
7.967682072,0.242052344,0.281553521,2.203147381,0.03726643,121.1569075,211.6427423,0.994294068,3.154194079,0.502507512,10.14704163,3,low
6.781990875,0.245427912,0.287155292,2.293458822,0.038201391,118.8942928,211.8876744,0.994549477,3.144503472,0.509414122,9.969916588,3,low
9.387437119,0.247786853,0.274304296,8.173647583,0.037677728,119.3295796,208.0660236,0.99395435,2.982443395,0.520334569,9.886866199,3,low
7.549397841,0.242812732,0.269765021,2.578991039,0.03872103,120.9809364,210.4661804,0.994898267,3.460534434,0.415091762,10.02555965,3,low
8.989739814,0.245120319,0.274051932,5.510539123,0.040261869,120.6386083,214.4407139,0.993986298,3.187647483,0.454453013,10.46060439,3,low
6.788088036,0.241218085,0.284276114,5.846365888,0.039997007,119.614323,211.3496846,0.994166356,3.303496231,0.626122699,10.89119583,3,low
8.120967185,0.242646025,0.28293518,4.058526199,0.038725242,118.6626735,213.5170947,0.994718633,3.338731192,0.515510795,9.878561286,3,low
8.556574763,0.24320251,0.268849904,1.983043516,0.039945265,123.795893,209.7273942,0.994795441,3.212025994,0.599414411,9.94827743,3,low
6.918996865,0.247815932,0.279901785,6.449582477,0.038727656,118.5927844,211.0999699,0.994803172,3.198218541,0.559197913,10.67881344,3,low
7.9239834,0.241035602,0.268601673,8.422246203,0.038934535,120.0308124,210.7550456,0.994289463,3.444109018,0.430179882,10.8544703,3,low
7.120151673,0.538739816,0.274842627,2.746100385,0.04947726,7.077709193,176.7633775,0.995098135,3.1220817,0.411273613,9.620804447,4,low
7.71622926,0.513925995,0.280676541,1.883705563,0.049493424,7.155765321,175.9725009,0.995029767,3.152979037,0.43250346,9.56626845,4,low
7.714564972,0.471910496,0.29342437,5.381052255,0.049942992,7.642521305,177.9247991,0.995028629,3.155356733,0.417790798,9.448073717,4,low
7.982990891,0.535320068,0.285559031,6.694769302,0.049503921,7.552861845,177.9186617,0.995079575,3.133012221,0.426382203,9.54084415,4,low
8.370479747,0.508756976,0.27840822,6.700762743,0.049386842,7.99454645,175.3967941,0.995062079,3.14890677,0.439481677,9.639355941,4,low
7.925176189,0.460079663,0.296971938,6.54058408,0.049257671,7.064453675,175.5346635,0.995028993,3.142358674,0.435629599,9.444479249,4,low
7.92012268,0.517424215,0.278446479,2.026277026,0.049066607,7.483074095,176.6339716,0.995048974,3.140446609,0.414302103,9.559929694,4,low
8.930155921,0.480292967,0.272844708,2.099045957,0.049300348,7.071689596,176.5421221,0.995070482,3.141192041,0.416235954,9.59314064,4,low
6.710701713,0.454344621,0.285695704,6.837039779,0.049169432,7.150832649,177.9752412,0.995020366,3.1536582,0.419293679,9.608712588,4,low
8.276438876,0.509059952,0.290234979,2.329115082,0.049430258,7.451079349,177.0751823,0.995099854,3.116881967,0.389825693,9.582707566,4,low
7.049480899,0.483676486,0.285948068,4.691225768,0.049815467,7.388837866,175.5847323,0.995023057,3.137873271,0.400846844,9.501136676,4,low
8.924962044,0.526601064,0.275723886,4.961819996,0.049749252,7.202604188,176.7438683,0.995038219,3.128961828,0.448914356,9.420400782,4,low
7.789546472,0.510893724,0.27706482,3.52125852,0.049431311,7.029576994,175.9310895,0.995084727,3.126251447,0.417943023,9.610269759,4,low
7.41847335,0.504772391,0.291150096,1.848927149,0.049736316,7.962889634,177.3522272,0.995091195,3.135998,0.441436035,9.597197982,4,low
8.813447115,0.454024746,0.280098215,5.447865017,0.049431914,7.016869893,176.8375113,0.995091846,3.137060112,0.430175416,9.460222479,4,low
7.957347474,0.528608378,0.291398327,7.037349458,0.049483634,7.278329526,176.9668579,0.995048586,3.11814546,0.394050367,9.427286819,4,low
6.5,0.289770876,0.240314746,3.821719526,0.096183055,6.155418386,112.2366225,0.995434729,3.1895915,0.399791068,8.943180729,4,low
6.5,0.285259272,0.228646918,4.083517954,0.094631308,6.311530642,113.0274991,0.99304185,3.035104815,0.372495551,9.179503384,4,low
6.5,0.27762009,0.20315126,3.021823423,0.051472806,7.28504261,111.0752009,0.993002011,3.023216337,0.391411831,9.691680558,4,low
6.5,0.289149103,0.218881939,2.623016462,0.093623561,7.10572369,111.0813383,0.994785139,3.134938896,0.380365739,9.289675352,4,low
6.5,0.28431945,0.233183559,2.621197024,0.104863155,7.9890929,113.6032059,0.994172765,3.055466151,0.363523558,8.862790923,4,low
6.5,0.27546903,0.196056124,2.66982269,0.117263588,6.128907349,113.4653365,0.993014763,3.08820663,0.368476229,9.707256588,4,low
6.5,0.285895312,0.233107042,4.040237331,0.13560569,6.966148191,112.3660284,0.993714094,3.097766953,0.395897296,9.206971326,4,low
6.5,0.279144176,0.244310583,4.018146763,0.113166621,6.143379193,112.4578779,0.994466878,3.094039797,0.393410916,9.063057228,4,low
6.5,0.274426295,0.218608592,2.57982721,0.12573452,6.301665299,111.0247588,0.992712822,3.031708998,0.389479555,8.995578787,4,low
6.5,0.284374537,0.209530042,3.94830435,0.100695278,6.902158698,111.9248177,0.995494891,3.215590167,0.427366966,9.108267216,4,low
6.5,0.279759361,0.218103864,3.231235035,0.063715145,6.777675732,113.4152677,0.992806985,3.110633647,0.413196915,9.461741069,4,low
6.5,0.28756383,0.238552229,3.149090358,0.07007184,6.405208376,112.2561317,0.99333768,3.155190858,0.351395828,9.811596611,4,low
6.5,0.28470795,0.235870359,3.586403664,0.100594188,6.059153988,113.0689105,0.994965445,3.168742766,0.391216114,8.988831045,4,low
6.5,0.28359498,0.207699808,4.094075687,0.071313639,7.925779268,111.6477728,0.995191826,3.120009998,0.361010812,9.045475412,4,low
6.5,0.274368136,0.22980357,3.001540977,0.100536252,6.033739786,112.1624887,0.995214613,3.114699439,0.375488751,9.639035923,4,low
6.5,0.287928796,0.207203346,2.519018914,0.09557115,6.556659052,112.0331421,0.993700522,3.209272699,0.421935242,9.781757117,4,low
7.163465072,0.614942719,0.125827344,1.633244622,0.059886583,25,156.8854524,0.994609091,3.32133856,0.533611909,10.36241334,4,low
7.111632238,0.613814818,0.156941553,1.679444345,0.059611794,25,158.7308313,0.994942385,3.222467082,0.570005931,10.19880535,4,low
7.111776959,0.611905023,0.224929974,1.492086486,0.051969143,25,154.1754689,0.994947934,3.214858455,0.544784225,9.844221152,4,low
7.088435575,0.614787276,0.182981496,1.421708787,0.059433339,25,154.1897893,0.99469957,3.286360893,0.559512348,10.12253245,4,low
7.054740892,0.613579863,0.144843843,1.42138771,0.061423684,25,160.074147,0.994784865,3.235498336,0.581968589,10.41806782,4,low
7.09346294,0.611367257,0.243850337,1.42996871,0.063619594,25,159.7524518,0.994946158,3.256452244,0.575365027,9.833437747,4,low
7.093902376,0.613973828,0.145047889,1.671806588,0.066867674,25,157.1873995,0.994848751,3.26257085,0.538803606,10.17978908,4,low
7.006073398,0.612286044,0.115171778,1.667908252,0.062894089,25,157.4017151,0.994743899,3.26018547,0.542118779,10.27942192,4,low
7.199069416,0.611106574,0.183710421,1.414087155,0.065119654,25,154.0577706,0.994988214,3.220293759,0.547360593,10.32613776,4,low
7.062918359,0.613593634,0.207919889,1.655583121,0.060685622,25,156.1579079,0.994600712,3.337977707,0.496844046,10.2481227,4,low
7.169610357,0.61243984,0.185056361,1.529041477,0.054137057,25,159.6356246,0.994975099,3.270805534,0.515737446,10.00341003,4,low
7.00652504,0.614390957,0.13052739,1.514545357,0.055262722,25,156.9309741,0.99490118,3.299322149,0.598138896,9.761202346,4,low
7.105256829,0.613676987,0.137679042,1.591718294,0.060667721,25,158.8274579,0.994674456,3.30799537,0.545045182,10.33080928,4,low
7.137524056,0.613398745,0.212800512,1.681307474,0.055482624,25,155.5114699,0.994642924,3.276806399,0.585318917,10.29159395,4,low
7.01622199,0.611092034,0.153857147,1.488507231,0.060657461,25,156.7124736,0.99463975,3.273407641,0.566014998,9.880667438,4,low
7.090665437,0.614482199,0.214124411,1.403356279,0.059778224,25,156.4106649,0.994850642,3.333934527,0.504086344,9.781860457,4,low
7.910546889,0.328510691,0.355157373,1.78900717,0.041636158,27.84458161,174.473245,0.995376689,3.22282484,0.457661705,9.395977764,4,low
8.351125975,0.299185266,0.349323459,1.72740754,0.041894782,27.68846936,176.0549983,0.994522089,3.383490992,0.442497529,9.668657751,4,low
8.349895849,0.249530586,0.33657563,1.977218018,0.049087866,26.71495739,172.1504019,0.994507861,3.39585501,0.453006573,10.25963141,4,low
8.548297615,0.324469172,0.344440969,2.07105495,0.04206274,26.89427631,172.1626765,0.995144692,3.279663548,0.446869855,9.795779252,4,low
8.834702422,0.293076427,0.35159178,2.071483053,0.040189474,26.0109071,177.2064117,0.994925987,3.362315203,0.437513088,9.303220296,4,low
8.505565009,0.235548693,0.333028062,2.06004172,0.038122735,27.87109265,176.9306729,0.994512415,3.328265104,0.440264572,10.27760376,4,low
8.501829807,0.303319527,0.351553521,1.737591216,0.035065718,27.03385181,174.7320567,0.994762176,3.318322369,0.455498498,9.700351531,4,low
9.248376116,0.259437142,0.357155292,1.742788997,0.038805563,27.85662081,174.9157558,0.995031028,3.322198611,0.454117176,9.534296802,4,low
7.607909962,0.228770916,0.344304296,2.081217127,0.036710913,27.6983347,172.0495177,0.994404579,3.387022642,0.451933086,9.456437062,4,low
8.765193952,0.293434488,0.339765021,1.759222506,0.04088412,27.0978413,173.8496353,0.995398175,3.195786226,0.472981648,9.586462172,4,low
7.858311969,0.263435847,0.344051932,1.927944698,0.047047476,27.22232427,176.8305354,0.994438209,3.304941007,0.465109397,9.994316618,4,low
9.244537163,0.314164893,0.354276114,1.947272857,0.045988027,27.59479162,174.5122635,0.994627743,3.258601508,0.43077546,10.39799609,4,low
8.405316958,0.295601674,0.35293518,1.844375609,0.040900969,27.94084601,176.1378211,0.995209088,3.244507523,0.452897841,9.448651206,4,low
8.13104552,0.288367371,0.338849904,1.724923368,0.04578106,26.07422073,173.2955457,0.995289938,3.295189602,0.436117118,9.514010091,4,low
9.162113085,0.228392882,0.349901785,1.981990358,0.040910625,27.96626021,174.3249774,0.995298076,3.300712584,0.444160417,10.1988876,4,low
8.529343785,0.316537174,0.338601673,2.095524961,0.041738142,27.44334095,174.0662842,0.994757329,3.202356393,0.469964024,10.3635659,4,low
7.746139712,0.477823318,0.357086328,1.083377689,0.03304548,4.077709193,56.17558501,0.990841028,2.94382876,0.4417115,11.13601482,3,low
7.953471047,0.434963082,0.341529223,1.060277828,0.033013152,4.155765321,55.6483339,0.992345123,3.030341304,0.374989126,10.95422817,4,low
7.952892164,0.362390856,0.307535013,1.153956757,0.032114017,4.642521305,56.94986604,0.992370165,3.036998851,0.421228921,10.56024572,4,low
8.046257701,0.471916481,0.328509252,1.189145606,0.032992158,4.552861845,56.9457745,0.991249341,2.974434218,0.394227363,10.8694805,4,low
8.181036434,0.426034777,0.347578079,1.189306145,0.033226316,4.99454645,55.26452943,0.991634262,3.018938956,0.353057586,11.19785314,3,low
8.02614824,0.341955782,0.298074832,1.185015645,0.033484658,4.064453675,55.35644235,0.992362149,3.000604287,0.365164116,10.54826416,4,low
8.024390497,0.441005463,0.347476055,1.064096706,0.033866785,4.483074095,56.08931443,0.99192257,2.995250506,0.432193389,10.93309898,3,low
8.375706407,0.37686967,0.362414111,1.066045874,0.033399305,4.071689596,56.0280814,0.991449391,2.997337714,0.426115573,11.04380213,4,low
7.603722335,0.332049801,0.32814479,1.192956423,0.033661136,4.150832649,56.98349411,0.99255194,3.032242961,0.41650558,11.09570863,3,low
8.148326566,0.426558098,0.316040056,1.07220844,0.033139485,4.451079349,56.38345489,0.990803211,2.929269507,0.50911925,11.00902522,3,low
7.721558574,0.38271393,0.327471819,1.135479262,0.032369066,4.388837866,55.38982153,0.992492753,2.988045157,0.474481348,10.73712225,4,low
8.373899841,0.456856383,0.354736305,1.142727321,0.032501497,4.202604188,56.16257884,0.992159172,2.96309312,0.323412025,10.46800261,3,low
7.978972686,0.429725523,0.351160479,1.104140853,0.033137379,4.029576994,55.62072632,0.991136006,2.955504051,0.420750501,11.1008992,4,low
7.849903774,0.419152312,0.313599744,1.059346263,0.032527367,4.962889634,56.56815145,0.990993709,2.982794401,0.346915318,11.05732661,3,low
8.33511204,0.331497289,0.343071427,1.155746384,0.033136172,4.016869893,56.22500753,0.990979386,2.985768314,0.382305836,10.6007416,4,low
8.037338252,0.460323563,0.312937794,1.19832186,0.033032732,4.278329526,56.31123859,0.991931101,2.932807289,0.495841703,10.49095606,4,low
6.345197608,0.270572811,0.219055762,1.822251793,0.068773165,13.62167354,197.64883,0.994515385,3.49,0.550646819,10.23601482,4,low
6.267448357,0.281851821,0.254059247,1.806851885,0.068223588,14.24612257,198.7033322,0.995079421,3.49,0.489990114,10.05422817,4,low
6.267665438,0.300949775,0.33054622,1.869304505,0.052938286,18.14017044,196.1002679,0.995088812,3.49,0.532026292,9.660245725,4,low
6.232653362,0.272127242,0.283354184,1.892763738,0.067866678,17.42289476,196.108451,0.994668503,3.49,0.507479421,9.969480498,4,low
6.182111337,0.284201374,0.240449323,1.892870763,0.071847367,20.9563716,199.4709411,0.994812848,3.49,0.470052351,10.29785314,4,low
6.24019441,0.306327426,0.351831629,1.89001043,0.076239187,13.5156294,199.2871153,0.995085806,3.49,0.481058288,9.648264163,4,low
6.240853564,0.28026172,0.240678875,1.809397804,0.082735348,16.86459276,197.8213711,0.994920964,3.49,0.54199399,10.03309898,4,low
6.109110097,0.297139561,0.20706825,1.810697249,0.074788178,13.57351677,197.9438372,0.994743522,3.49,0.536468702,10.14380213,4,low
6.398604124,0.308934263,0.284174223,1.895304282,0.079239309,14.2066612,196.0330118,0.995156978,3.49,0.527732345,10.19570863,4,low
6.194377538,0.284063658,0.311409875,1.814805626,0.070371244,16.60863479,197.2330902,0.994501204,3.49,0.611926591,10.10902522,4,low
6.354415535,0.295601597,0.285688407,1.856986174,0.057274114,16.11070293,199.2203569,0.995134782,3.49,0.580437589,9.837122255,4,low
6.10978756,0.276090426,0.224343314,1.861818214,0.059525443,14.62083351,197.6748423,0.99500969,3.49,0.443101841,9.568002607,4,low
6.257885243,0.283230125,0.232388923,1.836093902,0.070335442,13.23661595,198.7585474,0.994626002,3.49,0.531591364,10.2008992,4,low
6.306286085,0.286012549,0.316900576,1.806230842,0.059965247,20.70311707,196.8636971,0.994572641,3.49,0.464468471,10.15732661,4,low
6.124332985,0.309079661,0.25058929,1.87049759,0.070314923,13.13495914,197.5499849,0.99456727,3.49,0.496641669,9.700741598,4,low
6.235998156,0.27517801,0.318389963,1.89888124,0.068556449,15.22663621,197.3775228,0.994924163,3.49,0.599856094,9.590956064,4,low
6.055744497,0.282520369,0.293502685,1.133776889,0.043932063,45.22290807,114,0.993181351,3.21174706,0.428517455,9.463985176,4,low
6.418574332,0.332148011,0.225440353,0.902778276,0.043624946,44.44234679,114,0.992497672,3.267362267,0.379992091,9.645771834,4,low
6.417561288,0.416179008,0.076715683,1.839567568,0.03508316,39.57478695,114,0.992486289,3.271642119,0.413621033,10.03975428,4,low
6.580950977,0.289359864,0.168477976,2.191456063,0.043425496,40.47138155,114,0.992995754,3.231421997,0.393983536,9.730519502,4,low
6.816813759,0.342486047,0.251904094,2.193061449,0.045649999,36.0545355,114,0.99282079,3.260032186,0.364041881,9.402146864,4,low
6.54575942,0.439840674,0.035327389,2.15015645,0.048104252,45.35546325,114,0.992489932,3.248245613,0.37284663,10.05173584,4,low
6.54268337,0.325151569,0.251457742,0.940967061,0.051734459,41.16925905,114,0.992689741,3.244803897,0.421595192,9.66690102,4,low
7.157486213,0.399414067,0.316811736,0.960458739,0.047293394,45.28310404,114,0.992904822,3.246145673,0.417174962,9.556197868,4,low
5.806514086,0.451310757,0.166883455,2.229564227,0.04978079,44.49167351,114,0.992403663,3.268584761,0.410185876,9.504291375,4,low
6.75957149,0.341880097,0.113925243,1.022084397,0.044825107,41.48920651,114,0.99319854,3.20238754,0.477541273,9.590974782,4,low
6.012727504,0.392647028,0.163939209,1.654792616,0.037506123,42.11162134,114,0.992430567,3.240171887,0.452350071,9.862877745,4,low
7.154324722,0.306797873,0.283221335,1.727273213,0.038764218,43.97395812,114,0.992582194,3.224131291,0.342481473,10.13199739,4,low
6.4632022,0.338212552,0.267577095,1.341408532,0.0448051,45.70423006,114,0.99304727,3.219252604,0.413273091,9.499100804,4,low
6.237331605,0.350455217,0.103248881,0.893462629,0.039009991,36.37110366,114,0.99311195,3.236796401,0.359574777,9.542673394,4,low
7.08644607,0.451950508,0.232187492,1.857463844,0.044793633,45.83130107,114,0.993118461,3.238708202,0.385313335,9.999258402,4,low
6.565341941,0.302783243,0.10035285,2.283218605,0.043810957,43.21670474,114,0.992685863,3.204661828,0.467884875,10.10904394,4,low
9.264407176,0.593665991,0.386456836,1.6,0.061227402,34,181.5877925,0.9968,3.13899608,0.415741273,9.604022236,3,low
9.497654928,0.665851652,0.394235388,1.6,0.061065761,34,181.324167,0.9968,3.213149689,0.440003954,9.331342249,4,low
9.497003685,0.788078558,0.411232493,1.6,0.056570084,34,181.974933,0.9968,3.218856158,0.423189483,8.740368587,4,low
9.602039914,0.603614347,0.400745374,1.6,0.060960788,34,181.9728872,0.9968,3.16522933,0.433008232,9.204220748,4,low
9.753665988,0.680888796,0.391210961,1.6,0.062131579,34,181.1322647,0.9968,3.203376248,0.447979059,9.696779704,3,low
9.57941677,0.822495525,0.415962584,1.6,0.06342329,34,181.1782212,0.9968,3.187660817,0.443576685,8.722396245,4,low
9.577439309,0.65567501,0.391261972,1.6,0.065333926,34,181.5446572,0.9968,3.183071862,0.419202404,9.299648469,3,low
9.972669708,0.763693188,0.383792944,1.6,0.062996523,34,181.5140407,0.9968,3.184860897,0.421412519,9.465703198,4,low
9.104187627,0.839179283,0.400927605,1.6,0.064305679,34,181.9917471,0.9968,3.214779681,0.424907062,9.543562938,3,low
9.716867386,0.680007414,0.406979972,1.6,0.061697425,34,181.6917274,0.9968,3.12651672,0.391229364,9.413537828,3,low
9.236753395,0.753850223,0.40126409,1.6,0.057845328,34,181.1949108,0.9968,3.176895849,0.403824964,9.005683382,4,low
9.970637321,0.628978724,0.387631847,1.6,0.058507483,34,181.5812894,0.9968,3.155508388,0.458759264,8.60200391,3,low
9.526344272,0.674672803,0.389419761,1.6,0.061686895,34,181.3103632,0.9968,3.149003472,0.423363454,9.551348794,4,low
9.381141746,0.692480316,0.408200128,1.6,0.058636837,34,181.7840757,0.9968,3.172395201,0.450212612,9.485989909,3,low
9.927001045,0.840109829,0.393464287,1.6,0.06168086,34,181.6125038,0.9968,3.174944269,0.437343332,8.801112396,4,low
9.592005533,0.623139263,0.408531103,1.6,0.061163661,34,181.6556193,0.9968,3.129549104,0.396057562,8.636434095,4,low
7.6,0.210572811,0.351614209,1.51099283,0.036704661,6.077709193,106,0.992962702,3.12825294,0.427661705,10.63758666,4,low
7.6,0.221851821,0.353558847,1.57259246,0.036559185,6.155765321,106,0.991595343,3.072637733,0.412497529,10.80119465,4,low
7.6,0.240949775,0.357808123,1.322781982,0.032513076,6.642521305,106,0.991572578,3.068357881,0.423006573,11.15577885,4,low
7.6,0.212127242,0.355186344,1.22894505,0.036464709,6.552861845,106,0.992591508,3.108578003,0.416869855,10.87746755,4,low
7.6,0.224201374,0.35280274,1.228516947,0.037518421,6.99454645,106,0.99224158,3.079967814,0.407513088,10.58193218,4,low
7.6,0.246327426,0.358990646,1.23995828,0.038680961,6.064453675,106,0.991579865,3.091754387,0.410264572,11.16656225,4,low
7.6,0.22026172,0.352815493,1.562408784,0.040400533,6.483074095,106,0.991979482,3.095196103,0.425498498,10.82021092,4,low
7.6,0.237139561,0.350948236,1.557211003,0.038296871,6.071689596,106,0.992409645,3.093854327,0.424117176,10.72057808,4,low
7.6,0.248934263,0.355231901,1.218782873,0.039475111,6.150832649,106,0.991407327,3.071415239,0.421933086,10.67386224,4,low
7.6,0.224063658,0.356744993,1.540777494,0.037127682,6.451079349,106,0.99299708,3.13761246,0.442981648,10.7518773,4,low
7.6,0.235601597,0.355316023,1.372055302,0.033660795,6.388837866,106,0.991461134,3.099828113,0.435109397,10.99658997,4,low
7.6,0.216090426,0.351907962,1.352727143,0.034256735,6.202604188,106,0.991764389,3.115868709,0.40077546,11.23879765,4,low
7.6,0.223230125,0.35235494,1.455624391,0.037118205,6.029576994,106,0.99269454,3.120747396,0.422897841,10.66919072,4,low
7.6,0.226012549,0.357050032,1.575076632,0.034373154,6.962889634,106,0.992823901,3.103203599,0.406117118,10.70840605,4,low
7.6,0.249079661,0.353366072,1.318009642,0.037112774,6.016869893,106,0.992836922,3.101291798,0.414160417,11.11933256,4,low
7.6,0.21517801,0.357132776,1.204475039,0.036647295,6.278329526,106,0.991971727,3.135338172,0.439964024,11.21813954,4,low
6.364407176,0.257692212,0.236771582,1.933244622,0.042818079,145.8783265,286.633366,0.99244942,3.31007386,0.458517455,10.63042075,4,low
6.597654928,0.310703557,0.232882306,1.979444345,0.042947391,145.2538774,295.9920732,0.99426117,3.489278415,0.409992091,10.37591943,3,low
6.597003685,0.400463941,0.224383753,1.792086486,0.046543933,141.3598296,272.8898778,0.994291335,3.50306905,0.443621033,9.824344014,3,low
6.702039914,0.264998036,0.229627313,1.721708787,0.04303137,142.0771052,272.9625027,0.992941252,3.373470881,0.423983536,10.2572727,3,low
6.853665988,0.32174646,0.23439452,1.72138771,0.042094737,138.5436284,302.8046026,0.993404907,3.465659265,0.394041881,10.71699439,4,low
6.67941677,0.425738901,0.222018708,1.72996871,0.041061368,145.9843706,301.1731483,0.994281679,3.427680309,0.40284663,9.807569829,3,low
6.677439309,0.303230085,0.234369014,1.971806588,0.039532859,142.6354072,288.1646689,0.993752186,3.416590334,0.451595192,10.34633857,4,low
7.072669708,0.382555935,0.238103528,1.967908252,0.041402782,145.9264832,289.2515552,0.993182221,3.420913835,0.447174962,10.50132299,3,low
6.204187627,0.437991036,0.229536197,1.714087155,0.040355457,145.2933388,272.2929795,0.994510292,3.493217562,0.440185876,10.57399208,4,low
6.816867386,0.321099194,0.226510014,1.955583121,0.04244206,142.8913652,282.9436757,0.992403868,3.279915406,0.507541273,10.45263531,4,low
6.336753395,0.375327508,0.229367955,1.829041477,0.045523738,143.3892971,300.5806678,0.994438997,3.401664969,0.482350071,10.07197116,3,low
7.070637321,0.283625001,0.236184076,1.814545357,0.044994013,144.8791665,286.8642256,0.994037185,3.349978605,0.372481473,9.695203649,4,low
6.626344272,0.31718159,0.23529012,1.891718294,0.042450484,146.263384,296.4821079,0.992804734,3.334258391,0.443273091,10.58125887,3,low
6.481141746,0.330258982,0.225899936,1.981307474,0.04489053,138.7968829,279.6653118,0.992633332,3.390788403,0.389574777,10.52025725,4,low
7.027001045,0.438674406,0.233267857,1.788507231,0.042455312,146.3650409,285.7561163,0.992616079,3.396948651,0.415313335,9.881038237,3,low
6.692005533,0.279336646,0.225734449,1.703356279,0.042869071,144.2733638,284.2255151,0.993762462,3.287243669,0.497884875,9.727338489,3,low
9.246139712,0.594754332,0.392913672,1.444503585,0.056454803,34,183.2366225,0.996604662,3.07074314,0.42914425,9.7512252,3,low
9.453471047,0.688370111,0.408470777,1.41370377,0.056131523,34,184.0274991,0.996775582,3.200511955,0.462505437,9.442187882,4,low
9.452892164,0.84688313,0.442464987,1.538609009,0.047140168,34,182.0752009,0.996778428,3.210498277,0.43938554,8.772417732,4,low
9.546257701,0.607656106,0.421490748,1.585527475,0.055921575,34,182.0813383,0.996651062,3.116651327,0.452886319,9.298116847,4,low
9.681036434,0.707871407,0.402421921,1.585741527,0.058263157,34,184.6032059,0.996694803,3.183408433,0.473471207,9.856350331,3,low
9.52614824,0.891517634,0.451925168,1.58002086,0.060846581,34,184.4653365,0.996777517,3.15590643,0.467417942,8.752049078,4,low
9.524390497,0.675172279,0.402523945,1.418795608,0.064667852,34,183.3660284,0.996727565,3.147875759,0.433903305,9.406268265,3,low
9.875706407,0.815258353,0.387585889,1.421394498,0.059993046,34,183.4578779,0.996673794,3.151006571,0.436942214,9.594463625,4,low
9.103722335,0.913154383,0.42185521,1.590608564,0.062611358,34,182.0247588,0.996799084,3.203364442,0.44174721,9.682704663,3,low
9.648326566,0.706728364,0.433959944,1.429611253,0.05739485,34,182.9248177,0.996600365,3.04890426,0.395440375,9.535342871,3,low
9.221558574,0.802493258,0.422528181,1.513972349,0.049690655,34,184.4152677,0.996792358,3.137067736,0.412759326,9.073107833,4,low
9.873899841,0.640550533,0.395263695,1.523636428,0.051014967,34,183.2561317,0.996754451,3.099639679,0.488293988,8.615604432,3,low
9.478972686,0.699810041,0.398839521,1.472187804,0.057373789,34,184.0689105,0.996638182,3.088256076,0.43962475,9.691528634,4,low
9.349903774,0.72290416,0.436400256,1.412461684,0.051273675,34,182.6477728,0.996622012,3.129191602,0.476542341,9.61745523,3,low
9.83511204,0.914361185,0.406928573,1.540995179,0.057361719,34,183.1624887,0.996620385,3.133652471,0.458847082,8.841260716,4,low
9.537338252,0.632977482,0.437062206,1.597762481,0.056327323,34,183.0331421,0.996728534,3.054210933,0.402079148,8.654625308,4,low
5.909604784,0.281718433,0.194527881,1.122251793,0.056090961,5.155418386,108.824415,0.993876223,3.23758366,0.553194046,9.218793329,4,low
6.065103285,0.315555462,0.212029624,1.106851885,0.056026305,5.311530642,109.3516661,0.993004531,3.231404193,0.534997034,9.300597325,4,low
6.064669123,0.372849324,0.25027311,1.169304505,0.054228034,6.28504261,108.050134,0.992990018,3.230928653,0.547607887,9.477889424,4,low
6.134693276,0.286381725,0.226677092,1.192763738,0.055984315,6.10572369,108.0542255,0.993639586,3.235397556,0.540243826,9.338733776,4,low
6.235777325,0.322604123,0.205224661,1.192870763,0.056452631,6.9890929,109.7354706,0.993416507,3.232218646,0.529015705,9.190966089,4,low
6.11961118,0.388982277,0.260915814,1.19001043,0.056969316,5.128907349,109.6435576,0.992994664,3.233528265,0.532317486,9.483281127,4,low
6.118292873,0.310785161,0.205339438,1.109397804,0.05773357,5.966148191,108.9106856,0.99324942,3.233910678,0.550598197,9.310105459,4,low
6.381779806,0.361418682,0.188534125,1.110697249,0.056798609,5.143379193,108.9719186,0.993523649,3.233761592,0.548940611,9.26028904,4,low
5.802791751,0.396802789,0.227087112,1.195304282,0.057322272,5.301665299,108.0165059,0.992884671,3.23126836,0.546319704,9.236931119,4,low
